model_name,train_missing_prop,test_missing_prop,seed,outer_fold,prediction_source,inner_model_idx,replicate_id,n_patients,auc
Di-MMLP,0.0,0.0,4,1,ensemble,0,4|outer_1|ensemble,57,0.6530864197530865
Di-MMLP,0.0,0.0,4,2,ensemble,0,4|outer_2|ensemble,56,0.5491698595146871
Di-MMLP,0.0,0.0,4,3,ensemble,0,4|outer_3|ensemble,56,0.5964240102171137
Di-MMLP,0.0,0.0,4,4,ensemble,0,4|outer_4|ensemble,56,0.6155810983397191
Di-MMLP,0.0,0.0,4,5,ensemble,0,4|outer_5|ensemble,56,0.7269230769230769
Di-MMLP,0.0,0.0,22,1,ensemble,0,22|outer_1|ensemble,57,0.5469135802469136
Di-MMLP,0.0,0.0,22,2,ensemble,0,22|outer_2|ensemble,56,0.5427841634738186
Di-MMLP,0.0,0.0,22,3,ensemble,0,22|outer_3|ensemble,56,0.6538952745849298
Di-MMLP,0.0,0.0,22,4,ensemble,0,22|outer_4|ensemble,56,0.7535121328224776
Di-MMLP,0.0,0.0,22,5,ensemble,0,22|outer_5|ensemble,56,0.7025641025641025
Di-MMLP,0.0,0.0,2002,1,ensemble,0,2002|outer_1|ensemble,57,0.5790123456790124
Di-MMLP,0.0,0.0,2002,2,ensemble,0,2002|outer_2|ensemble,56,0.6577266922094508
Di-MMLP,0.0,0.0,2002,3,ensemble,0,2002|outer_3|ensemble,56,0.6181353767560664
Di-MMLP,0.0,0.0,2002,4,ensemble,0,2002|outer_4|ensemble,56,0.5568326947637292
Di-MMLP,0.0,0.0,2002,5,ensemble,0,2002|outer_5|ensemble,56,0.6923076923076923
Di-MMLP,0.0,0.0,18473,1,ensemble,0,18473|outer_1|ensemble,57,0.5913580246913581
Di-MMLP,0.0,0.0,18473,2,ensemble,0,18473|outer_2|ensemble,56,0.6679438058748404
Di-MMLP,0.0,0.0,18473,3,ensemble,0,18473|outer_3|ensemble,56,0.7049808429118775
Di-MMLP,0.0,0.0,18473,4,ensemble,0,18473|outer_4|ensemble,56,0.598978288633461
Di-MMLP,0.0,0.0,18473,5,ensemble,0,18473|outer_5|ensemble,56,0.6628205128205128
Di-MMLP,0.0,0.0,55602,1,ensemble,0,55602|outer_1|ensemble,57,0.6160493827160494
Di-MMLP,0.0,0.0,55602,2,ensemble,0,55602|outer_2|ensemble,56,0.5849297573435505
Di-MMLP,0.0,0.0,55602,3,ensemble,0,55602|outer_3|ensemble,56,0.7777777777777778
Di-MMLP,0.0,0.0,55602,4,ensemble,0,55602|outer_4|ensemble,56,0.545338441890166
Di-MMLP,0.0,0.0,55602,5,ensemble,0,55602|outer_5|ensemble,56,0.49358974358974356
Di-MMLP,0.0,0.2,4,1,ensemble,0,4|outer_1|ensemble,57,0.6765432098765433
Di-MMLP,0.0,0.2,4,2,ensemble,0,4|outer_2|ensemble,56,0.5389527458492975
Di-MMLP,0.0,0.2,4,3,ensemble,0,4|outer_3|ensemble,56,0.5977011494252874
Di-MMLP,0.0,0.2,4,4,ensemble,0,4|outer_4|ensemble,56,0.6002554278416348
Di-MMLP,0.0,0.2,4,5,ensemble,0,4|outer_5|ensemble,56,0.6833333333333333
Di-MMLP,0.0,0.2,22,1,ensemble,0,22|outer_1|ensemble,57,0.508641975308642
Di-MMLP,0.0,0.2,22,2,ensemble,0,22|outer_2|ensemble,56,0.5759897828863346
Di-MMLP,0.0,0.2,22,3,ensemble,0,22|outer_3|ensemble,56,0.7088122605363985
Di-MMLP,0.0,0.2,22,4,ensemble,0,22|outer_4|ensemble,56,0.8109833971902938
Di-MMLP,0.0,0.2,22,5,ensemble,0,22|outer_5|ensemble,56,0.6564102564102564
Di-MMLP,0.0,0.2,2002,1,ensemble,0,2002|outer_1|ensemble,57,0.6123456790123457
Di-MMLP,0.0,0.2,2002,2,ensemble,0,2002|outer_2|ensemble,56,0.6181353767560664
Di-MMLP,0.0,0.2,2002,3,ensemble,0,2002|outer_3|ensemble,56,0.6257982120051085
