model_name,test_missing_prop,envelope_train_missing_prop,envelope_mean_auc
Di-MMLP,0.0,0.2,0.6498975668860727
Di-MMLP,0.2,0.2,0.6371652749124014
Di-MMLP,0.4,0.2,0.6192053574352425
Di-MMLP,0.6,0.2,0.5877380227265285
Di-MMLP,0.8,0.4,0.5439071290565544
Di-PAM,0.0,0.2,0.6303148311883944
Di-PAM,0.2,0.0,0.6117073713855323
Di-PAM,0.4,0.0,0.5994583619870977
Di-PAM,0.6,0.0,0.5707028195304058
Di-PAM,0.8,0.0,0.5483235419327372
HealNet,0.0,0.2,0.6478238857779088
HealNet,0.2,0.0,0.6409678095425221
HealNet,0.4,0.0,0.612099682352556
HealNet,0.6,0.0,0.5855309296918493
HealNet,0.8,0.0,0.570092936437764
KNN_MLP,0.0,0.2,0.6466208861381275
KNN_MLP,0.2,0.4,0.6477661852834267
KNN_MLP,0.4,0.2,0.6206521924223074
KNN_MLP,0.6,0.0,0.6090198775256246
KNN_MLP,0.8,0.0,0.5775460588793923
SMILe,0.0,0.0,0.6477338965844713
SMILe,0.2,0.0,0.6376787503684056
SMILe,0.4,0.0,0.6124071781772932
SMILe,0.6,0.0,0.5909445590595016
SMILe,0.8,0.0,0.5590560303893637
VAE_MLP,0.0,0.2,0.633304057373023
VAE_MLP,0.2,0.0,0.6246554671382258
VAE_MLP,0.4,0.0,0.6087895995022432
VAE_MLP,0.6,0.0,0.5873245570946721
VAE_MLP,0.8,0.0,0.5616046108000131
ZI_MLP,0.0,0.0,0.6364250581262076
ZI_MLP,0.2,0.0,0.6315423257032452
ZI_MLP,0.4,0.0,0.6093244261060353
ZI_MLP,0.6,0.0,0.5754802370894325
ZI_MLP,0.8,0.2,0.5432971804695943
pAM,0.0,0.2,0.6234836427939876
pAM,0.2,0.0,0.616893538985493
pAM,0.4,0.0,0.6094617676916527
pAM,0.6,0.0,0.5856630972263157
pAM,0.8,0.0,0.5631117005599764
