model_name,scenario,train_prop,test_prop,missing_prop,mean_auc,std_auc,n_replicates,auc_ci95,auc_ci95_lower,auc_ci95_upper,baseline_auc,degradation_ratio,degradation_ratio_ci95,degradation_ratio_ci95_lower,degradation_ratio_ci95_upper,excluded_from_train_degradation
Di-MMLP,envelope,0.2,0.0,0.0,0.6144588793922128,0.06660772494129012,125,0.011941633100828464,0.6028550165373154,0.6267382827389724,0.5913350492844748,0.9623671642102223,0.019073703954567534,0.9432934602556547,0.9814408681647898,False
Di-MMLP,envelope,0.2,0.2,0.2,0.6055984412352229,0.06987717104585278,125,0.012280812620755088,0.5931501948455972,0.6177118200871073,0.5913350492844748,0.9764474427614849,0.02021104295615206,0.9562363998053328,0.9966584857176369,False
Di-MMLP,envelope,0.2,0.4,0.4,0.5833007826571045,0.07009512493615958,125,0.012056269771097416,0.5714763896257,0.5955889291678949,0.5913350492844748,1.0137737970979086,0.021395969867497255,0.9923778272304113,1.0351697669654059,False
Di-MMLP,envelope,0.2,0.6,0.6,0.5601384942856208,0.06242999466042207,125,0.010993655729115426,0.5492291063300259,0.5712164177882567,0.5913350492844748,1.0556943600861441,0.021134570581530898,1.0345597895046132,1.076828930667675,False
Di-MMLP,envelope,0.2,0.8,0.8,0.532994622916462,0.06852444202794397,125,0.012151784883911332,0.520614806628025,0.5449183763958476,0.5913350492844748,1.1094578141310003,0.025884761602984474,1.0835730525280158,1.1353425757339848,False
Di-PAM,envelope,0.0,0.2,0.2,0.5862553230507254,0.06651577992085653,125,0.01158132462258904,0.5747816399777319,0.59794428922291,0.5943252578838785,1.0137652222774869,0.020430268573835342,0.9933349537036515,1.0341954908513222,False
Di-PAM,envelope,0.0,0.4,0.4,0.5705966008448767,0.06414562737794241,125,0.01147546582833947,0.5586995061728396,0.5816504378295185,0.5943252578838785,1.0415856964515158,0.021377623413507685,1.020208073038008,1.0629633198650235,False
Di-PAM,envelope,0.0,0.6,0.6,0.5521703507220749,0.05700200002424622,125,0.010072258407833157,0.5419091253233781,0.5620536421390444,0.5943252578838785,1.0763440251847596,0.019998622594494808,1.0563454025902648,1.0963426477792544,False
Di-PAM,envelope,0.0,0.8,0.8,0.5346568687166389,0.06681144308572085,125,0.011756979074565355,0.5228296463306809,0.5463436044798116,0.5943252578838785,1.1116012767412198,0.024993451344677897,1.0866078253965419,1.1365947280858977,False
Di-PAM,envelope,0.2,0.0,0.0,0.6012605691456265,0.07164155991699253,125,0.012304502570651965,0.5886900854700855,0.6132990906113894,0.5943252578838785,0.9884653815373209,0.020651073175724233,0.9678143083615967,1.0091164547130451,False
HealNet,envelope,0.0,0.2,0.2,0.6118588204473262,0.06426992950204719,125,0.01067182909257619,0.6012638998591873,0.6226075580443396,0.6164549104365197,1.007511683799595,0.017884606042545492,0.9896270777570495,1.0253962898421405,False
HealNet,envelope,0.0,0.4,0.4,0.5885907587516784,0.06412352472707257,125,0.011499951861675906,0.5768882958378362,0.599888199561188,0.6164549104365197,1.0473404505091743,0.020870831106372556,1.0264696194028018,1.068211281615547,False
HealNet,envelope,0.0,0.6,0.6,0.5682257851131415,0.06842514580368744,125,0.012225806726266497,0.5561711929790091,0.5806228064315421,0.6164549104365197,1.0848766926579636,0.023855203744340026,1.0610214889136236,1.1087318964023036,False
HealNet,envelope,0.0,0.8,0.8,0.5441110390673608,0.0719532609656178,125,0.012604962831974376,0.5313732937092708,0.5565832193732195,0.6164549104365197,1.132957918834289,0.02686872849741917,1.10608919033687,1.1598266473317083,False
HealNet,envelope,0.2,0.0,0.0,0.6189933916232766,0.0701153630820821,125,0.011798296820250742,0.6069374404820383,0.6305340341225398,0.6164549104365197,0.9958990173059846,0.019351131637490915,0.9765478856684937,1.0152501489434755,False
KNN_MLP,envelope,0.0,0.6,0.6,0.5861445590595017,0.06428379356679972,125,0.011204225202213758,0.5749113865147197,0.5973198369191473,0.6116368864001049,1.0434915362543107,0.02033517824425135,1.0231563580100593,1.063826714498562,False
KNN_MLP,envelope,0.0,0.8,0.8,0.566433991551233,0.0749692262406855,125,0.01333215689163958,0.5524899001211645,0.5791542139044437,0.6116368864001049,1.079802581630173,0.02602793288355465,1.0537746487466184,1.1058305145137277,False
KNN_MLP,envelope,0.2,0.0,0.0,0.6176254641909813,0.06882023256549967,125,0.011420309788125749,0.6066933349706913,0.6295339545469428,0.6116368864001049,0.9903038683828869,0.018656352357235395,0.9716475160256515,1.0089602207401223,False
