model_name,train_missing_prop,test_missing_prop,seed,outer_fold,inner_model_idx,replicate_id,n_patients,auc
Di-MMLP,0.0,0.0,4,1,1,4|outer_1|inner_1,57,0.5111111111111111
Di-MMLP,0.0,0.0,4,1,2,4|outer_1|inner_2,57,0.5716049382716049
Di-MMLP,0.0,0.0,4,1,3,4|outer_1|inner_3,57,0.7493827160493828
Di-MMLP,0.0,0.0,4,1,4,4|outer_1|inner_4,57,0.5407407407407407
Di-MMLP,0.0,0.0,4,1,5,4|outer_1|inner_5,57,0.5864197530864197
Di-MMLP,0.0,0.0,4,2,1,4|outer_2|inner_1,56,0.5300127713920818
Di-MMLP,0.0,0.0,4,2,2,4|outer_2|inner_2,56,0.4572158365261814
Di-MMLP,0.0,0.0,4,2,3,4|outer_2|inner_3,56,0.5159642401021711
Di-MMLP,0.0,0.0,4,2,4,4|outer_2|inner_4,56,0.574712643678161
Di-MMLP,0.0,0.0,4,2,5,4|outer_2|inner_5,56,0.6679438058748404
Di-MMLP,0.0,0.0,4,3,1,4|outer_3|inner_1,56,0.541507024265645
Di-MMLP,0.0,0.0,4,3,2,4|outer_3|inner_2,56,0.5593869731800767
Di-MMLP,0.0,0.0,4,3,3,4|outer_3|inner_3,56,0.6257982120051087
Di-MMLP,0.0,0.0,4,3,4,4|outer_3|inner_4,56,0.6194125159642401
Di-MMLP,0.0,0.0,4,3,5,4|outer_3|inner_5,56,0.6028097062579821
Di-MMLP,0.0,0.0,4,4,1,4|outer_4|inner_1,56,0.6091954022988506
Di-MMLP,0.0,0.0,4,4,2,4|outer_4|inner_2,56,0.6360153256704981
Di-MMLP,0.0,0.0,4,4,3,4|outer_4|inner_3,56,0.4929757343550447
Di-MMLP,0.0,0.0,4,4,4,4|outer_4|inner_4,56,0.6475095785440612
Di-MMLP,0.0,0.0,4,4,5,4|outer_4|inner_5,56,0.5402298850574713
Di-MMLP,0.0,0.0,4,5,1,4|outer_5|inner_1,56,0.5884615384615385
Di-MMLP,0.0,0.0,4,5,2,4|outer_5|inner_2,56,0.5641025641025642
Di-MMLP,0.0,0.0,4,5,3,4|outer_5|inner_3,56,0.7025641025641026
Di-MMLP,0.0,0.0,4,5,4,4|outer_5|inner_4,56,0.708974358974359
Di-MMLP,0.0,0.0,4,5,5,4|outer_5|inner_5,56,0.7307692307692308
Di-MMLP,0.0,0.0,22,1,1,22|outer_1|inner_1,57,0.562962962962963
Di-MMLP,0.0,0.0,22,1,2,22|outer_1|inner_2,57,0.5975308641975309
Di-MMLP,0.0,0.0,22,1,3,22|outer_1|inner_3,57,0.5012345679012346
Di-MMLP,0.0,0.0,22,1,4,22|outer_1|inner_4,57,0.6074074074074075
Di-MMLP,0.0,0.0,22,1,5,22|outer_1|inner_5,57,0.5234567901234568
Di-MMLP,0.0,0.0,22,2,1,22|outer_2|inner_1,56,0.6015325670498084
Di-MMLP,0.0,0.0,22,2,2,22|outer_2|inner_2,56,0.51213282247765
Di-MMLP,0.0,0.0,22,2,3,22|outer_2|inner_3,56,0.46104725415070247
Di-MMLP,0.0,0.0,22,2,4,22|outer_2|inner_4,56,0.5402298850574712
Di-MMLP,0.0,0.0,22,2,5,22|outer_2|inner_5,56,0.5696040868454662
Di-MMLP,0.0,0.0,22,3,1,22|outer_3|inner_1,56,0.6168582375478927
Di-MMLP,0.0,0.0,22,3,2,22|outer_3|inner_2,56,0.49297573435504466
Di-MMLP,0.0,0.0,22,3,3,22|outer_3|inner_3,56,0.6360153256704981
Di-MMLP,0.0,0.0,22,3,4,22|outer_3|inner_4,56,0.48020434227330777
Di-MMLP,0.0,0.0,22,3,5,22|outer_3|inner_5,56,0.6641123882503193
