model_name,test_missing_prop,envelope_train_missing_prop,envelope_mean_auc
Di-MMLP,0.0,0.2,0.6144588793922128
Di-MMLP,0.2,0.2,0.6055984412352229
Di-MMLP,0.4,0.2,0.5833007826571045
Di-MMLP,0.6,0.2,0.5601384942856208
Di-MMLP,0.8,0.2,0.532994622916462
Di-PAM,0.0,0.2,0.6012605691456265
Di-PAM,0.2,0.0,0.5862553230507254
Di-PAM,0.4,0.0,0.5705966008448767
Di-PAM,0.6,0.0,0.5521703507220749
Di-PAM,0.8,0.0,0.5346568687166389
HealNet,0.0,0.2,0.6189933916232766
HealNet,0.2,0.0,0.6118588204473262
HealNet,0.4,0.0,0.5885907587516784
HealNet,0.6,0.0,0.5682257851131415
HealNet,0.8,0.0,0.5441110390673608
KNN_MLP,0.0,0.2,0.6176254641909813
KNN_MLP,0.2,0.2,0.6128097586534368
KNN_MLP,0.4,0.2,0.5918717228280448
KNN_MLP,0.6,0.0,0.5861445590595017
KNN_MLP,0.8,0.0,0.566433991551233
VAE_MLP,0.0,0.2,0.6072448767069458
VAE_MLP,0.2,0.0,0.5941343943412909
VAE_MLP,0.4,0.2,0.5766989946622132
VAE_MLP,0.6,0.0,0.5607798801453973
VAE_MLP,0.8,0.0,0.5415695582408228
ZI_MLP,0.0,0.0,0.6116368864001049
ZI_MLP,0.2,0.0,0.6016931722173102
ZI_MLP,0.4,0.0,0.5787096440383798
ZI_MLP,0.6,0.0,0.5552789861479518
ZI_MLP,0.8,0.0,0.5252853390968333
pAM,0.0,0.0,0.595544015456659
pAM,0.2,0.0,0.5886722598814552
pAM,0.4,0.0,0.5789248190719455
pAM,0.6,0.0,0.5580536660444707
pAM,0.8,0.0,0.5397030356616563
