model_name,scenario,train_prop,test_prop,train_missing_prop,test_missing_prop,mean_auc,std_auc,n_replicates
Di-MMLP,both,0.0,0.0,0.0,0.0,0.6765610859728507,0.06294887952364803,25
Di-MMLP,both,0.0,0.25,0.0,0.25,0.6557918552036199,0.09541160101178642,25
Di-MMLP,both,0.0,0.5,0.0,0.5,0.6728205128205128,0.09647503753797265,25
Di-MMLP,both,0.0,0.75,0.0,0.75,0.6689140271493212,0.09803833826037343,25
Di-MMLP,both,0.25,0.0,0.25,0.0,0.6749924585218702,0.09005213320457278,25
Di-MMLP,both,0.25,0.25,0.25,0.25,0.6517647058823529,0.09328821147669795,25
Di-MMLP,both,0.25,0.5,0.25,0.5,0.6293363499245852,0.08620806229520528,25
Di-MMLP,both,0.25,0.75,0.25,0.75,0.6929260935143288,0.09156090811446435,25
Di-MMLP,both,0.5,0.0,0.5,0.0,0.6737104072398189,0.098646918140187,25
Di-MMLP,both,0.5,0.25,0.5,0.25,0.6577224736048265,0.10996594682864282,25
Di-MMLP,both,0.5,0.5,0.5,0.5,0.6424434389140272,0.1031791210189518,25
Di-MMLP,both,0.5,0.75,0.5,0.75,0.6958974358974359,0.1175268010240318,25
Di-MMLP,both,0.75,0.0,0.75,0.0,0.6599547511312217,0.11049209176942724,25
Di-MMLP,both,0.75,0.25,0.75,0.25,0.6509049773755656,0.11021787079738088,25
Di-MMLP,both,0.75,0.5,0.75,0.5,0.6481297134238311,0.09903968243302892,25
Di-MMLP,both,0.75,0.75,0.75,0.75,0.6766968325791857,0.09759484462885355,25
Di-PAM,both,0.0,0.0,0.0,0.0,0.6592307692307692,0.08838064060246974,25
Di-PAM,both,0.0,0.25,0.0,0.25,0.6442835595776772,0.09801853970397845,25
Di-PAM,both,0.0,0.5,0.0,0.5,0.6492006033182505,0.09041932458440499,25
Di-PAM,both,0.0,0.75,0.0,0.75,0.6794720965309202,0.1055023029209612,25
Di-PAM,both,0.25,0.0,0.25,0.0,0.657948717948718,0.08500315053221567,25
Di-PAM,both,0.25,0.25,0.25,0.25,0.6377677224736048,0.101420958160385,25
Di-PAM,both,0.25,0.5,0.25,0.5,0.6228959276018099,0.09264680559894822,25
Di-PAM,both,0.25,0.75,0.25,0.75,0.6459276018099548,0.10375055661461209,25
Di-PAM,both,0.5,0.0,0.5,0.0,0.6649924585218703,0.11615315151187551,25
Di-PAM,both,0.5,0.25,0.5,0.25,0.6511764705882352,0.13152115518228977,25
Di-PAM,both,0.5,0.5,0.5,0.5,0.6366817496229261,0.10977860557876545,25
Di-PAM,both,0.5,0.75,0.5,0.75,0.6530769230769231,0.12377550202412348,25
Di-PAM,both,0.75,0.0,0.75,0.0,0.6636349924585219,0.1010654490646279,25
Di-PAM,both,0.75,0.25,0.75,0.25,0.6631070889894418,0.1119024700708731,25
Di-PAM,both,0.75,0.5,0.75,0.5,0.6631975867269985,0.10489044597967354,25
Di-PAM,both,0.75,0.75,0.75,0.75,0.6833031674208145,0.10767470242944382,25
HealNet,both,0.0,0.0,0.0,0.0,0.6846153846153846,0.06834553405223329,25
HealNet,both,0.0,0.25,0.0,0.25,0.644524886877828,0.08185533412846359,25
HealNet,both,0.0,0.5,0.0,0.5,0.6540874811463047,0.08060977343037501,25
HealNet,both,0.0,0.75,0.0,0.75,0.6290196078431373,0.0934619647339005,25
HealNet,both,0.25,0.0,0.25,0.0,0.6490799396681749,0.04516445641547821,25
HealNet,both,0.25,0.25,0.25,0.25,0.6117797888386124,0.08087459428074946,25
HealNet,both,0.25,0.5,0.25,0.5,0.5998642533936652,0.10152504452448692,25
HealNet,both,0.25,0.75,0.25,0.75,0.611553544494721,0.08906248866055913,25
HealNet,both,0.5,0.0,0.5,0.0,0.6628054298642533,0.10118565221355368,25
HealNet,both,0.5,0.25,0.5,0.25,0.6138763197586727,0.10507283543024486,25
HealNet,both,0.5,0.5,0.5,0.5,0.6015987933634992,0.07970424914607468,25
HealNet,both,0.5,0.75,0.5,0.75,0.6544042232277526,0.10819251392544438,25
HealNet,both,0.75,0.0,0.75,0.0,0.6443740573152339,0.09987164567080221,25
HealNet,both,0.75,0.25,0.75,0.25,0.6130920060331825,0.1128324973873494,25
HealNet,both,0.75,0.5,0.75,0.5,0.6129864253393665,0.10481461369272893,25
HealNet,both,0.75,0.75,0.75,0.75,0.6631523378582201,0.09808553649131711,25
KNN_MLP,both,0.0,0.0,0.0,0.0,0.6720663650075415,0.07522834861997019,25
KNN_MLP,both,0.0,0.25,0.0,0.25,0.6341478129713424,0.09564692775675011,25
KNN_MLP,both,0.0,0.5,0.0,0.5,0.6519155354449473,0.09241755803806244,25
KNN_MLP,both,0.0,0.75,0.0,0.75,0.6637104072398189,0.08045910146570331,25
KNN_MLP,both,0.25,0.0,0.25,0.0,0.656184012066365,0.09865059831842286,25
KNN_MLP,both,0.25,0.25,0.25,0.25,0.6303016591251885,0.10430508140153238,25
KNN_MLP,both,0.25,0.5,0.25,0.5,0.6501659125188536,0.09081307136679367,25
KNN_MLP,both,0.25,0.75,0.25,0.75,0.6748868778280542,0.0954547655431242,25
KNN_MLP,both,0.5,0.0,0.5,0.0,0.6799396681749623,0.09457466613797846,25
KNN_MLP,both,0.5,0.25,0.5,0.25,0.632684766214178,0.11090013901813389,25
KNN_MLP,both,0.5,0.5,0.5,0.5,0.6380241327300151,0.0837185088411734,25
KNN_MLP,both,0.5,0.75,0.5,0.75,0.6974962292609352,0.10080953413563302,25
KNN_MLP,both,0.75,0.0,0.75,0.0,0.6445098039215686,0.11169724730624875,25
KNN_MLP,both,0.75,0.25,0.75,0.25,0.6257918552036199,0.1216951632264781,25
KNN_MLP,both,0.75,0.5,0.75,0.5,0.6150980392156863,0.09663288483003496,25
KNN_MLP,both,0.75,0.75,0.75,0.75,0.6827300150829562,0.0892282545194513,25
SMILe,both,0.0,0.0,0.0,0.0,0.6573001508295626,0.06677586397510366,25
SMILe,both,0.0,0.25,0.0,0.25,0.6382051282051282,0.08981209440348464,25
SMILe,both,0.0,0.5,0.0,0.5,0.6365007541478129,0.07635575912535125,25
SMILe,both,0.0,0.75,0.0,0.75,0.640392156862745,0.08566376703607655,25
SMILe,both,0.25,0.0,0.25,0.0,0.6650980392156863,0.06081913786231829,25
SMILe,both,0.25,0.25,0.25,0.25,0.6309653092006033,0.06508819925435821,25
SMILe,both,0.25,0.5,0.25,0.5,0.6031825037707391,0.07629318747655246,25
SMILe,both,0.25,0.75,0.25,0.75,0.6346907993966817,0.0978688405305222,25
SMILe,both,0.5,0.0,0.5,0.0,0.6526998491704374,0.09323709798337601,25
SMILe,both,0.5,0.25,0.5,0.25,0.6136500754147813,0.09398902773233915,25
SMILe,both,0.5,0.5,0.5,0.5,0.6155354449472096,0.09283838575502067,25
SMILe,both,0.5,0.75,0.5,0.75,0.6430316742081448,0.12997074989351612,25
SMILe,both,0.75,0.0,0.75,0.0,0.6473453996983409,0.09901722417893731,25
SMILe,both,0.75,0.25,0.75,0.25,0.6211915535444947,0.107998381722015,25
SMILe,both,0.75,0.5,0.75,0.5,0.6299095022624435,0.08588695454556036,25
SMILe,both,0.75,0.75,0.75,0.75,0.6915384615384614,0.10382347764523163,25
VAE_MLP,both,0.0,0.0,0.0,0.0,0.6611915535444948,0.07818929398272152,25
