outer_fold,inner_fold,hp_name,batch_size,learning_rate,weight_decay,smil_e_latent_dim,smil_e_num_priors,smil_e_num_heads,smil_e_dropout,classifier_hidden_dim,smil_e_alpha,smil_e_beta,meta_inner_lr,meta_val_fraction,name,epoch,train_loss,val_loss,val_auc,val_aucpr,val_acc,val_cindex,teacher_loss,student_survival_loss,student_repr_loss,student_feature_loss,smil_meta_train_loss,smil_meta_val_loss,smil_meta_val_ce,smil_align_fusion,smil_align_hidden,seed,degrading_modality,train_missing_prop
1,1,lr5e-05_bs8_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-04_mvf0p25__wd1e-04trmiss20_degmodglobal,8,5e-05,0.0001,8,2,1,0.2,16,0.001,0.01,0.0005,0.25,lr5e-05_bs8_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-04_mvf0p25__wd1e-04trmiss20_degmodglobal,1,0.7000614544924568,0.7098390161991119,0.40711462450592883,0.5293052276219624,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.7000614544924568,0.6903691151562859,0.6852439256275401,0.530080027440015,0.459511853316251,2002,global,0.2
1,1,lr5e-05_bs8_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-04_mvf0p25__wd1e-04trmiss20_degmodglobal,8,5e-05,0.0001,8,2,1,0.2,16,0.001,0.01,0.0005,0.25,lr5e-05_bs8_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-04_mvf0p25__wd1e-04trmiss20_degmodglobal,2,0.6780458899105296,0.7056828538576762,0.4565217391304348,0.5268768946446843,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.6780458899105296,0.645319682710311,0.640235069920035,0.5438205529661739,0.4540782728615929,2002,global,0.2
1,1,lr5e-05_bs8_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-04_mvf0p25__wd1e-04trmiss20_degmodglobal,8,5e-05,0.0001,8,2,1,0.2,16,0.001,0.01,0.0005,0.25,lr5e-05_bs8_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-04_mvf0p25__wd1e-04trmiss20_degmodglobal,3,0.6619850537356209,0.7023855745792389,0.4881422924901186,0.5250868397682231,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.6619850537356209,0.6053166950450224,0.6002590586157406,0.5631742337170769,0.449446464286131,2002,global,0.2
1,1,lr5e-05_bs8_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-04_mvf0p25__wd1e-04trmiss20_degmodglobal,8,5e-05,0.0001,8,2,1,0.2,16,0.001,0.01,0.0005,0.25,lr5e-05_bs8_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-04_mvf0p25__wd1e-04trmiss20_degmodglobal,4,0.6416540321181802,0.7003994286060333,0.5019762845849802,0.5337967008414417,0.4888888888888889,0.0,0.0,0.0,0.0,0.0,0.6416540321181802,0.5678108369602877,0.5627896750674528,0.580382624093224,0.44407788269660053,2002,global,0.2
1,1,lr5e-05_bs8_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-04_mvf0p25__wd1e-04trmiss20_degmodglobal,8,5e-05,0.0001,8,2,1,0.2,16,0.001,0.01,0.0005,0.25,lr5e-05_bs8_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-04_mvf0p25__wd1e-04trmiss20_degmodglobal,5,0.6230044294806087,0.6991007526715597,0.5197628458498025,0.5400535111994196,0.5111111111111111,0.0,0.0,0.0,0.0,0.0,0.6230044294806087,0.5334338440614588,0.528416700222913,0.5972389263265273,0.4419892675736371,2002,global,0.2
1,1,lr5e-05_bs8_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-04_mvf0p25__wd1e-04trmiss20_degmodglobal,8,5e-05,0.0001,8,2,1,0.2,16,0.001,0.01,0.0005,0.25,lr5e-05_bs8_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-04_mvf0p25__wd1e-04trmiss20_degmodglobal,6,0.6025694538565243,0.700333853562673,0.5217391304347827,0.5417427648223117,0.5111111111111111,0.0,0.0,0.0,0.0,0.0,0.6025694538565243,0.5012522707967197,0.49622217346640196,0.6096971420680776,0.44203978075700645,2002,global,0.2
1,1,lr5e-05_bs8_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-04_mvf0p25__wd1e-04trmiss20_degmodglobal,8,5e-05,0.0001,8,2,1,0.2,16,0.001,0.01,0.0005,0.25,lr5e-05_bs8_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-04_mvf0p25__wd1e-04trmiss20_degmodglobal,7,0.5851471774718341,0.7021361192067465,0.5316205533596838,0.5538018055565366,0.5111111111111111,0.0,0.0,0.0,0.0,0.0,0.5851471774718341,0.46919090782894807,0.46410420887610493,0.6273441980866825,0.44593525984708,2002,global,0.2
1,1,lr5e-05_bs8_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-04_mvf0p25__wd1e-04trmiss20_degmodglobal,8,5e-05,0.0001,8,2,1,0.2,16,0.001,0.01,0.0005,0.25,lr5e-05_bs8_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-04_mvf0p25__wd1e-04trmiss20_degmodglobal,8,0.5667275260476505,0.7031292418638865,0.5375494071146245,0.5784717474440626,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.5667275260476505,0.43946097878848805,0.43430357645539674,0.6423648175071267,0.45150406921611114,2002,global,0.2
1,1,lr5e-05_bs8_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-04_mvf0p25__wd1e-04trmiss20_degmodglobal,8,5e-05,0.0001,8,2,1,0.2,16,0.001,0.01,0.0005,0.25,lr5e-05_bs8_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-04_mvf0p25__wd1e-04trmiss20_degmodglobal,9,0.5457523517748889,0.7088240583737692,0.5375494071146245,0.5793175032425595,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.5457523517748889,0.4106595831758836,0.4053957339595346,0.6596382505753461,0.46042119580156665,2002,global,0.2
1,1,lr5e-05_bs8_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-04_mvf0p25__wd1e-04trmiss20_degmodglobal,8,5e-05,0.0001,8,2,1,0.2,16,0.001,0.01,0.0005,0.25,lr5e-05_bs8_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-04_mvf0p25__wd1e-04trmiss20_degmodglobal,10,0.527151495218277,0.7146037220954895,0.5474308300395256,0.5817598756849319,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.527151495218277,0.3842610488919651,0.37886964573579673,0.6750288745936226,0.47163719815366406,2002,global,0.2
