2026-05-26 08:23:40,082 INFO    MainThread:48 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /home/osiris-user/Desktop/TFM/m3trics/results/mmCRC_os_21_label/wandb/wandb/run-20260526_082340-r2znezm5/logs/debug.log
2026-05-26 08:23:40,083 INFO    MainThread:48 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /home/osiris-user/Desktop/TFM/m3trics/results/mmCRC_os_21_label/wandb/wandb/run-20260526_082340-r2znezm5/logs/debug-internal.log
2026-05-26 08:23:40,083 INFO    MainThread:48 [wandb_init.py:init():844] calling init triggers
2026-05-26 08:23:40,083 INFO    MainThread:48 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'endpoint': 'os_21_label', 'model': 'SMILe', 'model_canonical': 'smil_e', 'dataset': 'mmCRC', 'modalities': ['blood', 'clin', 'path', 'radio'], 'hp_grid_size': 32, 'epochs': 80, 'task_type': 'binary_classification', 'retrain_outer': False, 'save_inner': True, 'use_ensemble': True, 'missingness_study': True, 'fixed_distillation_complete_case': False, 'fixed_distillation_student_missing_prop': None, 'best_epoch_warmup': 5, 'inner_splits': 5, 'outer_splits': 5, 'hp_selection_epsilon': 0.02, 'train_missing_prop': 0.75, 'degrading_modality': 'global', 'missing_pattern_seed': 2026, 'imputation_method': 'zero', 'modality_pooling': {}, 'test_eval_combinations': 4, 'test_missing_props_grid': '0.0,0.25,0.5,0.75', 'eval_degrading_modalities_grid': 'global,global,global,global', 'seed': 18473, 'outer_fold': 2, 'inner_fold': 4, 'model_type': 'inner', 'phase': 'selected_inner_model', 'selected_hp_name': 'lr5e-05_bs8_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-04_mvf0p25__wd1e-04trmiss75_degmodglobal', 'batch_size': 8, 'learning_rate': 5e-05, 'weight_decay': 0.0001, 'smil_e_latent_dim': 8, 'smil_e_num_priors': 2, 'smil_e_num_heads': 1, 'smil_e_dropout': 0.2, 'classifier_hidden_dim': 16, 'smil_e_alpha': 0.001, 'smil_e_beta': 0.01, 'meta_inner_lr': 0.0005, 'meta_val_fraction': 0.25, 'name': 'lr5e-05_bs8_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-04_mvf0p25__wd1e-04trmiss75_degmodglobal', '_wandb': {}}
2026-05-26 08:23:40,083 INFO    MainThread:48 [wandb_init.py:init():892] starting backend
2026-05-26 08:23:40,083 INFO    MainThread:48 [wandb_init.py:init():895] sending inform_init request
2026-05-26 08:23:40,083 INFO    MainThread:48 [wandb_init.py:init():903] backend started and connected
2026-05-26 08:23:40,084 INFO    MainThread:48 [wandb_init.py:init():973] updated telemetry
2026-05-26 08:23:40,084 INFO    MainThread:48 [wandb_init.py:init():997] communicating run to backend with 180.0 second timeout
2026-05-26 08:23:40,615 INFO    MainThread:48 [wandb_init.py:init():1042] starting run threads in backend
2026-05-26 08:23:40,646 INFO    MainThread:48 [wandb_run.py:_console_start():2524] atexit reg
2026-05-26 08:23:40,646 INFO    MainThread:48 [wandb_run.py:_redirect():2373] redirect: off
2026-05-26 08:23:40,647 INFO    MainThread:48 [wandb_init.py:init():1082] run started, returning control to user process
2026-05-26 08:23:40,652 INFO    MainThread:48 [wandb_run.py:_finish():2291] finishing run marc_albesa/SMILe_mmCRC/r2znezm5
2026-05-26 08:23:40,653 INFO    MainThread:48 [wandb_run.py:_atexit_cleanup():2490] got exitcode: 0
2026-05-26 08:23:40,653 INFO    MainThread:48 [wandb_run.py:_restore():2472] restore
2026-05-26 08:23:40,653 INFO    MainThread:48 [wandb_run.py:_restore():2478] restore done
