outer_fold,inner_fold,hp_name,batch_size,learning_rate,weight_decay,modality_hidden_layers,fusion_hidden_dim,fusion_hidden_layers,fusion_batchnorm,dropout,distill_alpha,distill_beta,name,epoch,train_loss,val_loss,val_auc,val_aucpr,val_acc,val_cindex,teacher_loss,student_survival_loss,student_repr_loss,student_feature_loss,smil_meta_train_loss,smil_meta_val_loss,smil_meta_val_ce,smil_align_fusion,smil_align_hidden,seed,degrading_modality,train_missing_prop
1,1,lr1e-04_bs8_modL1_fusion32_fusionL1_fusionBN0_drop0p1_a0p25_b0p05__wd1e-04trmiss20_degmodglobal,8,0.0001,0.0001,1,32,1,False,0.1,0.25,0.05,lr1e-04_bs8_modL1_fusion32_fusionL1_fusionBN0_drop0p1_a0p25_b0p05__wd1e-04trmiss20_degmodglobal,1,0.8102599563805953,0.6907958189646403,0.5968379446640317,0.6427229006504481,0.4888888888888889,0.0,0.6979364441788715,0.7225686363551928,0.32783656664516614,0.11464352938144104,0.0,0.0,0.0,0.0,0.0,4,global,0.2
1,1,lr1e-04_bs8_modL1_fusion32_fusionL1_fusionBN0_drop0p1_a0p25_b0p05__wd1e-04trmiss20_degmodglobal,8,0.0001,0.0001,1,32,1,False,0.1,0.25,0.05,lr1e-04_bs8_modL1_fusion32_fusionL1_fusionBN0_drop0p1_a0p25_b0p05__wd1e-04trmiss20_degmodglobal,2,0.7706204056739807,0.6852491199970245,0.6363636363636365,0.6682455252726305,0.5333333333333333,0.0,0.6760374644528264,0.6877055634622988,0.31307163899359497,0.0929387399683828,0.0,0.0,0.0,0.0,0.0,4,global,0.2
1,1,lr1e-04_bs8_modL1_fusion32_fusionL1_fusionBN0_drop0p1_a0p25_b0p05__wd1e-04trmiss20_degmodglobal,8,0.0001,0.0001,1,32,1,False,0.1,0.25,0.05,lr1e-04_bs8_modL1_fusion32_fusionL1_fusionBN0_drop0p1_a0p25_b0p05__wd1e-04trmiss20_degmodglobal,3,0.7577361179434735,0.6823408802350363,0.6343873517786561,0.6336988320545875,0.5111111111111111,0.0,0.6674280581266984,0.6777590279993804,0.3030885445035022,0.08409910940605661,0.0,0.0,0.0,0.0,0.0,4,global,0.2
1,1,lr1e-04_bs8_modL1_fusion32_fusionL1_fusionBN0_drop0p1_a0p25_b0p05__wd1e-04trmiss20_degmodglobal,8,0.0001,0.0001,1,32,1,False,0.1,0.25,0.05,lr1e-04_bs8_modL1_fusion32_fusionL1_fusionBN0_drop0p1_a0p25_b0p05__wd1e-04trmiss20_degmodglobal,4,0.7382781661075094,0.6796365976333618,0.6442687747035574,0.671262614191372,0.5555555555555556,0.0,0.6546546065289042,0.6621676424275273,0.28808350731497223,0.08179281959715097,0.0,0.0,0.0,0.0,0.0,4,global,0.2
1,1,lr1e-04_bs8_modL1_fusion32_fusionL1_fusionBN0_drop0p1_a0p25_b0p05__wd1e-04trmiss20_degmodglobal,8,0.0001,0.0001,1,32,1,False,0.1,0.25,0.05,lr1e-04_bs8_modL1_fusion32_fusionL1_fusionBN0_drop0p1_a0p25_b0p05__wd1e-04trmiss20_degmodglobal,5,0.7284748657889988,0.6754305760065714,0.6600790513833992,0.6793729905622489,0.5555555555555556,0.0,0.6553223210832347,0.6549911369448123,0.2797555651353753,0.07089676546013873,0.0,0.0,0.0,0.0,0.0,4,global,0.2
1,1,lr1e-04_bs8_modL1_fusion32_fusionL1_fusionBN0_drop0p1_a0p25_b0p05__wd1e-04trmiss20_degmodglobal,8,0.0001,0.0001,1,32,1,False,0.1,0.25,0.05,lr1e-04_bs8_modL1_fusion32_fusionL1_fusionBN0_drop0p1_a0p25_b0p05__wd1e-04trmiss20_degmodglobal,6,0.713916345782902,0.6707817514737447,0.6956521739130435,0.7144434960793029,0.5555555555555556,0.0,0.6452930543733679,0.6418446950290514,0.2749769065691077,0.06654855932878412,0.0,0.0,0.0,0.0,0.0,4,global,0.2
1,1,lr1e-04_bs8_modL1_fusion32_fusionL1_fusionBN0_drop0p1_a0p25_b0p05__wd1e-04trmiss20_degmodglobal,8,0.0001,0.0001,1,32,1,False,0.1,0.25,0.05,lr1e-04_bs8_modL1_fusion32_fusionL1_fusionBN0_drop0p1_a0p25_b0p05__wd1e-04trmiss20_degmodglobal,7,0.706691052602685,0.6664630174636841,0.7193675889328064,0.7599252577593311,0.6,0.0,0.6300566326016965,0.6344206955121912,0.2762434048497159,0.06419010954382627,0.0,0.0,0.0,0.0,0.0,4,global,0.2
1,1,lr1e-04_bs8_modL1_fusion32_fusionL1_fusionBN0_drop0p1_a0p25_b0p05__wd1e-04trmiss20_degmodglobal,8,0.0001,0.0001,1,32,1,False,0.1,0.25,0.05,lr1e-04_bs8_modL1_fusion32_fusionL1_fusionBN0_drop0p1_a0p25_b0p05__wd1e-04trmiss20_degmodglobal,8,0.6864667379337809,0.6663459241390228,0.7134387351778656,0.74639327207499,0.6444444444444445,0.0,0.6211299792579983,0.6163274853125863,0.26858144804187445,0.05987805581611136,0.0,0.0,0.0,0.0,0.0,4,global,0.2
1,1,lr1e-04_bs8_modL1_fusion32_fusionL1_fusionBN0_drop0p1_a0p25_b0p05__wd1e-04trmiss20_degmodglobal,8,0.0001,0.0001,1,32,1,False,0.1,0.25,0.05,lr1e-04_bs8_modL1_fusion32_fusionL1_fusionBN0_drop0p1_a0p25_b0p05__wd1e-04trmiss20_degmodglobal,9,0.6875264204066732,0.664793868859609,0.7015810276679841,0.7356615073918187,0.6222222222222222,0.0,0.6022948752278867,0.6136021018028259,0.2814167083605476,0.07140286639332771,0.0,0.0,0.0,0.0,0.0,4,global,0.2
1,1,lr1e-04_bs8_modL1_fusion32_fusionL1_fusionBN0_drop0p1_a0p25_b0p05__wd1e-04trmiss20_degmodglobal,8,0.0001,0.0001,1,32,1,False,0.1,0.25,0.05,lr1e-04_bs8_modL1_fusion32_fusionL1_fusionBN0_drop0p1_a0p25_b0p05__wd1e-04trmiss20_degmodglobal,10,0.6768760707067407,0.660381038983663,0.6976284584980238,0.7359846873977935,0.6444444444444445,0.0,0.5943040251731873,0.6052725315093994,0.2718994889570319,0.0725734826663266,0.0,0.0,0.0,0.0,0.0,4,global,0.2
1,1,lr1e-04_bs8_modL1_fusion32_fusionL1_fusionBN0_drop0p1_a0p25_b0p05__wd1e-04trmiss20_degmodglobal,8,0.0001,0.0001,1,32,1,False,0.1,0.25,0.05,lr1e-04_bs8_modL1_fusion32_fusionL1_fusionBN0_drop0p1_a0p25_b0p05__wd1e-04trmiss20_degmodglobal,11,0.6614486756532089,0.6622588336467743,0.6956521739130435,0.7368816037528676,0.6,0.0,0.5668498614560002,0.5863059785055078,0.2810363335453946,0.0976722034747186,0.0,0.0,0.0,0.0,0.0,4,global,0.2
1,1,lr1e-04_bs8_modL1_fusion32_fusionL1_fusionBN0_drop0p1_a0p25_b0p05__wd1e-04trmiss20_degmodglobal,8,0.0001,0.0001,1,32,1,False,0.1,0.25,0.05,lr1e-04_bs8_modL1_fusion32_fusionL1_fusionBN0_drop0p1_a0p25_b0p05__wd1e-04trmiss20_degmodglobal,12,0.6720262714054274,0.6565365493297577,0.691699604743083,0.7261471079098023,0.6222222222222222,0.0,0.572091861911442,0.5945936130440753,0.28817787507305975,0.10776392872566762,0.0,0.0,0.0,0.0,0.0,4,global,0.2
1,1,lr1e-04_bs8_modL1_fusion32_fusionL1_fusionBN0_drop0p1_a0p25_b0p05__wd1e-04trmiss20_degmodglobal,8,0.0001,0.0001,1,32,1,False,0.1,0.25,0.05,lr1e-04_bs8_modL1_fusion32_fusionL1_fusionBN0_drop0p1_a0p25_b0p05__wd1e-04trmiss20_degmodglobal,13,0.6504485840382783,0.6523755093415579,0.6956521739130435,0.7275718473414672,0.6,0.0,0.551430230555327,0.569717129935389,0.30282741849837097,0.10049206423370735,0.0,0.0,0.0,0.0,0.0,4,global,0.2
1,1,lr1e-04_bs8_modL1_fusion32_fusionL1_fusionBN0_drop0p1_a0p25_b0p05__wd1e-04trmiss20_degmodglobal,8,0.0001,0.0001,1,32,1,False,0.1,0.25,0.05,lr1e-04_bs8_modL1_fusion32_fusionL1_fusionBN0_drop0p1_a0p25_b0p05__wd1e-04trmiss20_degmodglobal,14,0.6438589018324147,0.6555820405483246,0.6798418972332017,0.7376943047890906,0.5777777777777777,0.0,0.533301733110262,0.5622302578843158,0.303551382344702,0.11481601955450099,0.0,0.0,0.0,0.0,0.0,4,global,0.2
1,1,lr1e-04_bs8_modL1_fusion32_fusionL1_fusionBN0_drop0p1_a0p25_b0p05__wd1e-04trmiss20_degmodglobal,8,0.0001,0.0001,1,32,1,False,0.1,0.25,0.05,lr1e-04_bs8_modL1_fusion32_fusionL1_fusionBN0_drop0p1_a0p25_b0p05__wd1e-04trmiss20_degmodglobal,15,0.6386456748713618,0.6528693636258444,0.6778656126482213,0.7324554208863922,0.5777777777777777,0.0,0.513578667588856,0.5513574234817339,0.3226733959239462,0.13239803780680118,0.0,0.0,0.0,0.0,0.0,4,global,0.2
1,1,lr1e-04_bs8_modL1_fusion32_fusionL1_fusionBN0_drop0p1_a0p25_b0p05__wd1e-04trmiss20_degmodglobal,8,0.0001,0.0001,1,32,1,False,0.1,0.25,0.05,lr1e-04_bs8_modL1_fusion32_fusionL1_fusionBN0_drop0p1_a0p25_b0p05__wd1e-04trmiss20_degmodglobal,16,0.6377881687620411,0.6457667648792267,0.6818181818181818,0.7199399665370936,0.5777777777777777,0.0,0.5093652813330941,0.547134606734566,0.3305164653321971,0.16048882448154947,0.0,0.0,0.0,0.0,0.0,4,global,0.2
1,1,lr1e-04_bs8_modL1_fusion32_fusionL1_fusionBN0_drop0p1_a0p25_b0p05__wd1e-04trmiss20_degmodglobal,8,0.0001,0.0001,1,32,1,False,0.1,0.25,0.05,lr1e-04_bs8_modL1_fusion32_fusionL1_fusionBN0_drop0p1_a0p25_b0p05__wd1e-04trmiss20_degmodglobal,17,0.6147372152494348,0.6413748065630595,0.6956521739130435,0.7373891278805663,0.5777777777777777,0.0,0.4790554202121237,0.5229512841805167,0.3340053493561952,0.16569169805101727,0.0,0.0,0.0,0.0,0.0,4,global,0.2
1,1,lr1e-04_bs8_modL1_fusion32_fusionL1_fusionBN0_drop0p1_a0p25_b0p05__wd1e-04trmiss20_degmodglobal,8,0.0001,0.0001,1,32,1,False,0.1,0.25,0.05,lr1e-04_bs8_modL1_fusion32_fusionL1_fusionBN0_drop0p1_a0p25_b0p05__wd1e-04trmiss20_degmodglobal,18,0.6025713915410249,0.6362747649351755,0.7075098814229249,0.7637978651210616,0.5777777777777777,0.0,0.46617730674536334,0.5064756390841111,0.35561001559962396,0.14386488497257233,0.0,0.0,0.0,0.0,0.0,4,global,0.2
1,1,lr1e-04_bs8_modL1_fusion32_fusionL1_fusionBN0_drop0p1_a0p25_b0p05__wd1e-04trmiss20_degmodglobal,8,0.0001,0.0001,1,32,1,False,0.1,0.25,0.05,lr1e-04_bs8_modL1_fusion32_fusionL1_fusionBN0_drop0p1_a0p25_b0p05__wd1e-04trmiss20_degmodglobal,19,0.5765629747639531,0.6388139426708221,0.6956521739130435,0.7373233459342029,0.5555555555555556,0.0,0.4357174738593724,0.47741750271424005,0.35912536538165546,0.18728244701481384,0.0,0.0,0.0,0.0,0.0,4,global,0.2
