outer_fold,inner_fold,hp_name,batch_size,learning_rate,modality_hidden_layers,fusion_hidden_dim,fusion_hidden_layers,dropout,name,epoch,train_loss,val_loss,val_auc,val_aucpr,val_acc,seed,missing_scope,missing_location,missing_prob
1,1,lr5e-05_bs16_modL1_fusion32_fusionL1_drop0p2_miss80_scopetrain_locglobal,16,5e-05,1,32,1,0.2,lr5e-05_bs16_modL1_fusion32_fusionL1_drop0p2_miss80_scopetrain_locglobal,1,0.695417732000351,0.7040671308835348,0.40756302521008403,0.6032367788508918,0.37777777777777777,22,train,global,0.8
1,1,lr5e-05_bs16_modL1_fusion32_fusionL1_drop0p2_miss80_scopetrain_locglobal,16,5e-05,1,32,1,0.2,lr5e-05_bs16_modL1_fusion32_fusionL1_drop0p2_miss80_scopetrain_locglobal,2,0.687390128771464,0.7012283603350321,0.4915966386554621,0.6319244810084521,0.4666666666666667,22,train,global,0.8
1,1,lr5e-05_bs16_modL1_fusion32_fusionL1_drop0p2_miss80_scopetrain_locglobal,16,5e-05,1,32,1,0.2,lr5e-05_bs16_modL1_fusion32_fusionL1_drop0p2_miss80_scopetrain_locglobal,3,0.6848249236742655,0.6806508302688599,0.5294117647058824,0.6583559125895101,0.5111111111111111,22,train,global,0.8
1,1,lr5e-05_bs16_modL1_fusion32_fusionL1_drop0p2_miss80_scopetrain_locglobal,16,5e-05,1,32,1,0.2,lr5e-05_bs16_modL1_fusion32_fusionL1_drop0p2_miss80_scopetrain_locglobal,4,0.6614236732323965,0.71526567141215,0.33403361344537813,0.5525874716826695,0.4888888888888889,22,train,global,0.8
1,1,lr5e-05_bs16_modL1_fusion32_fusionL1_drop0p2_miss80_scopetrain_locglobal,16,5e-05,1,32,1,0.2,lr5e-05_bs16_modL1_fusion32_fusionL1_drop0p2_miss80_scopetrain_locglobal,5,0.6896233657995859,0.6909898519515991,0.4201680672268908,0.6371735191356785,0.5111111111111111,22,train,global,0.8
1,1,lr5e-05_bs16_modL1_fusion32_fusionL1_drop0p2_miss80_scopetrain_locglobal,16,5e-05,1,32,1,0.2,lr5e-05_bs16_modL1_fusion32_fusionL1_drop0p2_miss80_scopetrain_locglobal,6,0.6819082796573639,0.6902557412783304,0.4852941176470588,0.6265164152685655,0.5555555555555556,22,train,global,0.8
1,1,lr5e-05_bs16_modL1_fusion32_fusionL1_drop0p2_miss80_scopetrain_locglobal,16,5e-05,1,32,1,0.2,lr5e-05_bs16_modL1_fusion32_fusionL1_drop0p2_miss80_scopetrain_locglobal,7,0.6627420683701833,0.6969339450200399,0.4222689075630252,0.5946077935149456,0.4666666666666667,22,train,global,0.8
1,1,lr5e-05_bs16_modL1_fusion32_fusionL1_drop0p2_miss80_scopetrain_locglobal,16,5e-05,1,32,1,0.2,lr5e-05_bs16_modL1_fusion32_fusionL1_drop0p2_miss80_scopetrain_locglobal,8,0.6767694105704626,0.6776104768117269,0.5441176470588236,0.6400325830874455,0.6666666666666666,22,train,global,0.8
1,1,lr5e-05_bs16_modL1_fusion32_fusionL1_drop0p2_miss80_scopetrain_locglobal,16,5e-05,1,32,1,0.2,lr5e-05_bs16_modL1_fusion32_fusionL1_drop0p2_miss80_scopetrain_locglobal,9,0.6654787709315618,0.6811220248540243,0.5189075630252101,0.7061900377681258,0.4888888888888889,22,train,global,0.8
1,1,lr5e-05_bs16_modL1_fusion32_fusionL1_drop0p2_miss80_scopetrain_locglobal,16,5e-05,1,32,1,0.2,lr5e-05_bs16_modL1_fusion32_fusionL1_drop0p2_miss80_scopetrain_locglobal,10,0.6668751289447149,0.7158600290616354,0.3865546218487395,0.5761011492745927,0.4888888888888889,22,train,global,0.8
