outer_fold,inner_fold,hp_name,batch_size,learning_rate,dyam_dropout,dyam_temperature,name,epoch,train_loss,val_loss,val_auc,val_aucpr,val_acc,teacher_loss,student_survival_loss,student_repr_loss,student_feature_loss,smil_meta_train_loss,smil_meta_val_loss,smil_meta_val_ce,smil_align_fusion,smil_align_hidden,seed,missing_location,train_missing_prop
1,1,lr5e-05_bs16_drop0p2_temp1p0_trmiss10_trlocglobal,16,5e-05,0.2,1.0,lr5e-05_bs16_drop0p2_temp1p0_trmiss10_trlocglobal,1,0.6611710786819458,0.6787903706232706,0.5441176470588235,0.7525661756096683,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,global,0.1
1,1,lr5e-05_bs16_drop0p2_temp1p0_trmiss10_trlocglobal,16,5e-05,0.2,1.0,lr5e-05_bs16_drop0p2_temp1p0_trmiss10_trlocglobal,2,0.6370123227437338,0.6746853391329447,0.5672268907563026,0.7739290340334507,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,global,0.1
1,1,lr5e-05_bs16_drop0p2_temp1p0_trmiss10_trlocglobal,16,5e-05,0.2,1.0,lr5e-05_bs16_drop0p2_temp1p0_trmiss10_trlocglobal,3,0.6273177365461985,0.6739221612612406,0.5651260504201681,0.7749612417205588,0.5111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,global,0.1
1,1,lr5e-05_bs16_drop0p2_temp1p0_trmiss10_trlocglobal,16,5e-05,0.2,1.0,lr5e-05_bs16_drop0p2_temp1p0_trmiss10_trlocglobal,4,0.6139645675818125,0.6798991958300272,0.5273109243697479,0.7402696408034153,0.4888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,global,0.1
1,1,lr5e-05_bs16_drop0p2_temp1p0_trmiss10_trlocglobal,16,5e-05,0.2,1.0,lr5e-05_bs16_drop0p2_temp1p0_trmiss10_trlocglobal,5,0.5966874857743582,0.6853792866071066,0.49789915966386555,0.7126875609100128,0.4888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,global,0.1
1,1,lr5e-05_bs16_drop0p2_temp1p0_trmiss10_trlocglobal,16,5e-05,0.2,1.0,lr5e-05_bs16_drop0p2_temp1p0_trmiss10_trlocglobal,6,0.597037802139918,0.6911255518595377,0.48109243697478987,0.6968624070545493,0.5111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,global,0.1
1,1,lr5e-05_bs16_drop0p2_temp1p0_trmiss10_trlocglobal,16,5e-05,0.2,1.0,lr5e-05_bs16_drop0p2_temp1p0_trmiss10_trlocglobal,7,0.5811485548814138,0.691805104414622,0.4684873949579832,0.691493027306658,0.5111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,global,0.1
1,1,lr5e-05_bs16_drop0p2_temp1p0_trmiss10_trlocglobal,16,5e-05,0.2,1.0,lr5e-05_bs16_drop0p2_temp1p0_trmiss10_trlocglobal,8,0.5670895278453827,0.6889386971791586,0.49159663865546216,0.7081039200523673,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,global,0.1
1,1,lr5e-05_bs16_drop0p2_temp1p0_trmiss10_trlocglobal,16,5e-05,0.2,1.0,lr5e-05_bs16_drop0p2_temp1p0_trmiss10_trlocglobal,9,0.5670008758703867,0.6973515152931213,0.46638655462184875,0.6722191278698071,0.5111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,global,0.1
1,1,lr5e-05_bs16_drop0p2_temp1p0_trmiss10_trlocglobal,16,5e-05,0.2,1.0,lr5e-05_bs16_drop0p2_temp1p0_trmiss10_trlocglobal,10,0.5589174230893453,0.6971267064412435,0.4726890756302521,0.6759101218846747,0.5111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,global,0.1
1,1,lr5e-05_bs16_drop0p2_temp1p0_trmiss10_trlocglobal,16,5e-05,0.2,1.0,lr5e-05_bs16_drop0p2_temp1p0_trmiss10_trlocglobal,11,0.5506364951531092,0.6989268064498901,0.47058823529411764,0.6611522085365359,0.5111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,global,0.1
1,1,lr5e-05_bs16_drop0p2_temp1p0_trmiss10_trlocglobal,16,5e-05,0.2,1.0,lr5e-05_bs16_drop0p2_temp1p0_trmiss10_trlocglobal,12,0.5538808008035024,0.7041719357172648,0.46638655462184875,0.6519349807529533,0.5111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,global,0.1
1,1,lr5e-05_bs16_drop0p2_temp1p0_trmiss10_trlocglobal,16,5e-05,0.2,1.0,lr5e-05_bs16_drop0p2_temp1p0_trmiss10_trlocglobal,13,0.5709345564246178,0.7028042078018188,0.47689075630252103,0.6526380728746151,0.5111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,global,0.1
