outer_fold,inner_fold,hp_name,batch_size,learning_rate,dyam_dropout,dyam_temperature,distill_alpha,distill_beta,name,epoch,train_loss,val_loss,val_auc,val_aucpr,val_acc,teacher_loss,student_survival_loss,student_repr_loss,student_feature_loss,smil_meta_train_loss,smil_meta_val_loss,smil_meta_val_ce,smil_align_fusion,smil_align_hidden,seed,missing_location,train_missing_prop
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss80_trlocglobal,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss80_trlocglobal,1,2.926487992207209,0.6638566652933756,0.5609243697478992,0.6828909425756863,0.6444444444444445,0.7418017288049062,0.7780227859814962,2.023088355859121,1.253768856326739,0.0,0.0,0.0,0.0,0.0,18473,global,0.8
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss80_trlocglobal,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss80_trlocglobal,2,2.656875650087992,0.6482480963071188,0.6092436974789917,0.7245985038903496,0.6222222222222222,0.7281317462523779,0.7461128085851669,1.8169212937355042,0.9384156465530396,0.0,0.0,0.0,0.0,0.0,18473,global,0.8
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss80_trlocglobal,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss80_trlocglobal,3,2.588459034760793,0.6454281210899353,0.592436974789916,0.719598696524881,0.6444444444444445,0.715012272198995,0.7127373566230139,1.7812164574861526,0.945052353044351,0.0,0.0,0.0,0.0,0.0,18473,global,0.8
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss80_trlocglobal,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss80_trlocglobal,4,2.6815295616785684,0.6372869809468588,0.6029411764705883,0.7351371626191271,0.6666666666666666,0.6883241732915243,0.7011395146449407,1.8793130318323772,1.0107701271772385,0.0,0.0,0.0,0.0,0.0,18473,global,0.8
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss80_trlocglobal,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss80_trlocglobal,5,2.584830562273661,0.641379733880361,0.5966386554621849,0.7364261419787704,0.6444444444444445,0.6932464887698492,0.7005369315544764,1.7851797938346863,0.9911384582519531,0.0,0.0,0.0,0.0,0.0,18473,global,0.8
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss80_trlocglobal,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss80_trlocglobal,6,2.4823079307874045,0.6407094995180765,0.6050420168067226,0.7453300328361888,0.6444444444444445,0.6750502039988836,0.6942762931187948,1.6994355420271556,0.8859614431858063,0.0,0.0,0.0,0.0,0.0,18473,global,0.8
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss80_trlocglobal,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss80_trlocglobal,7,2.5645521680514016,0.6379796465237936,0.615546218487395,0.7518611231783693,0.6666666666666666,0.6599472711483637,0.7087588161230087,1.757784401377042,0.9800896222392718,0.0,0.0,0.0,0.0,0.0,18473,global,0.8
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss80_trlocglobal,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss80_trlocglobal,8,2.3569693863391876,0.6359597047170004,0.6239495798319328,0.750356013484273,0.6666666666666666,0.6835877945025762,0.6672051697969437,1.6069760272900264,0.8278816267848015,0.0,0.0,0.0,0.0,0.0,18473,global,0.8
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss80_trlocglobal,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss80_trlocglobal,9,2.3970878422260284,0.6460694471995035,0.5987394957983193,0.7294064532699966,0.6666666666666666,0.6714500933885574,0.6439837863047918,1.6744162489970524,0.7868780965606371,0.0,0.0,0.0,0.0,0.0,18473,global,0.8
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss80_trlocglobal,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss80_trlocglobal,10,2.5183999439080558,0.6590125560760498,0.5882352941176471,0.7201660622091783,0.6444444444444445,0.6539036383231481,0.688544362783432,1.7455666661262512,0.8428891766816378,0.0,0.0,0.0,0.0,0.0,18473,global,0.8
